mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.77,Alaska Peninsula,1667515789120,1667537655680,,https://earthquake.usgs.gov/earthquakes/eventpage/av91708786,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91708786&format=geojson,,,,,reviewed,0,9,av,91708786,",av91708786,",",av,",",origin,phase-data,",12.0,,0.18,128.0,ml,earthquake,M 0.8 - Alaska Peninsula
2.1,"58 km ENE of Chase, Alaska",1667514247312,1667514365798,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022e4388nv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022e4388nv&format=geojson,,,,,automatic,0,68,ak,022e4388nv,",ak022e4388nv,",",ak,",",origin,phase-data,",,,0.34,,ml,earthquake,"M 2.1 - 58 km ENE of Chase, Alaska"
0.3,"4 km WNW of Sutcliffe, Nevada",1667513189676,1667529842392,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850581,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850581&format=geojson,,,,,reviewed,0,1,nn,00850581,",nn00850581,",",nn,",",origin,phase-data,",4.0,0.139,0.0201,160.54,ml,earthquake,"M 0.3 - 4 km WNW of Sutcliffe, Nevada"
0.7,"9 km SE of Incline Village, Nevada",1667512756449,1667529839904,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850580,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850580&format=geojson,,,,,reviewed,0,8,nn,00850580,",nn00850580,",",nn,",",origin,phase-data,",14.0,0.03,0.1308,51.21,ml,earthquake,"M 0.7 - 9 km SE of Incline Village, Nevada"
0.89,"13km WSW of Searles Valley, CA",1667512738530,1667520648460,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128847,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128847&format=geojson,,,,,reviewed,0,12,ci,40128847,",ci40128847,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.1167,0.15,166.0,ml,earthquake,"M 0.9 - 13km WSW of Searles Valley, CA"
1.99000001,"7 km ENE of P?hala, Hawaii",1667512519390,1667512702070,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73206472,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73206472&format=geojson,,,,,automatic,0,61,hv,73206472,",hv73206472,",",hv,",",origin,phase-data,",32.0,,0.119999997,142.0,md,earthquake,"M 2.0 - 7 km ENE of P?hala, Hawaii"
-0.79,"83 km NNW of Karluk, Alaska",1667511713320,1667580005270,,https://earthquake.usgs.gov/earthquakes/eventpage/av91708776,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91708776&format=geojson,,,,,reviewed,0,0,av,91708776,",av91708776,",",av,",",origin,phase-data,",5.0,,0.08,188.0,ml,earthquake,"M -0.8 - 83 km NNW of Karluk, Alaska"
4.9,"80 km WSW of Ternate, Indonesia",1667510988996,1667511691040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000imb1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000imb1&format=geojson,,,,,reviewed,0,369,us,7000imb1,",us7000imb1,",",us,",",origin,phase-data,",64.0,0.701,0.99,54.0,mb,earthquake,"M 4.9 - 80 km WSW of Ternate, Indonesia"
0.99,"British Columbia, Canada",1667510934070,1667524353050,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61891146,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61891146&format=geojson,,,,,reviewed,0,15,uw,61891146,",uw61891146,",",uw,",",origin,phase-data,",8.0,0.0187,0.28,262.0,ml,explosion,"M 1.0 Explosion - British Columbia, Canada"
3.0,"1 km WNW of Falls City, Texas",1667510757820,1667613901818,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022vosj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022vosj&format=geojson,5.0,3.7,,,reviewed,0,140,tx,2022vosj,",us7000imaz,tx2022vosj,",",us,tx,",",dyfi,origin,phase-data,",26.0,0.06341651031,0.3,34.0,ml,earthquake,"M 3.0 - 1 km WNW of Falls City, Texas"
1.4,"30 km SE of Mina, Nevada",1667510346115,1667529769638,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850562,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850562&format=geojson,,,,,reviewed,0,30,nn,00850562,",nn00850562,",",nn,",",origin,phase-data,",15.0,0.092,0.1153,145.21,ml,earthquake,"M 1.4 - 30 km SE of Mina, Nevada"
1.8800000000000001,"10 km SSE of Princeton, Canada",1667509900880,1667523213900,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61891136,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61891136&format=geojson,,,,,reviewed,0,54,uw,61891136,",uw61891136,",",uw,",",origin,phase-data,",7.0,0.5548,0.58,215.0,ml,explosion,"M 1.9 Explosion - 10 km SSE of Princeton, Canada"
4.7,southern Mid-Atlantic Ridge,1667509727143,1667514485040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000imbc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000imbc&format=geojson,,,,,reviewed,0,340,us,7000imbc,",us7000imbc,",",us,",",origin,phase-data,",50.0,18.714,0.63,64.0,mb,earthquake,M 4.7 - southern Mid-Atlantic Ridge
5.5,,1667509164724,1667595726042,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000imax,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000imax&format=geojson,,,0.0,green,reviewed,0,465,us,7000imax,",us7000imax,",",us,",",losspager,origin,phase-data,shakemap,",48.0,31.439,0.98,58.0,mww,earthquake,M 5.5 - 
0.91,"3km ESE of Loma Linda, CA",1667508905480,1667510223530,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128839,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128839&format=geojson,,,,,reviewed,0,13,ci,40128839,",ci40128839,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.1022,0.09,164.0,ml,earthquake,"M 0.9 - 3km ESE of Loma Linda, CA"
1.79,"2 km WSW of La Parguera, Puerto Rico",1667508574510,1667513810350,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71380708,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71380708&format=geojson,,,,,reviewed,0,49,pr,71380708,",pr71380708,",",pr,",",origin,phase-data,",5.0,0.02472,0.05,234.0,md,earthquake,"M 1.8 - 2 km WSW of La Parguera, Puerto Rico"
0.7,"5 km WNW of Sutcliffe, Nevada",1667508508258,1667529822440,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850579,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850579&format=geojson,,,,,reviewed,0,8,nn,00850579,",nn00850579,",",nn,",",origin,phase-data,",4.0,0.135,0.0406,158.72,ml,earthquake,"M 0.7 - 5 km WNW of Sutcliffe, Nevada"
5.4,Reykjanes Ridge,1667508466139,1667595123846,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000imat,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000imat&format=geojson,,,0.0,green,reviewed,0,449,us,7000imat,",usauto7000imat,us7000imat,",",usauto,us,",",internal-moment-tensor,losspager,origin,phase-data,shakemap,",77.0,9.102,0.76,44.0,mww,earthquake,M 5.4 - Reykjanes Ridge
1.26,"5km E of Vallejo, CA",1667508433680,1667511841077,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73802741,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73802741&format=geojson,,,,,reviewed,0,24,nc,73802741,",nc73802741,",",nc,",",nearby-cities,origin,phase-data,",9.0,0.02052,0.07,140.0,md,quarry blast,"M 1.3 Quarry Blast - 5km E of Vallejo, CA"
1.2,"45 km WNW of Indian Springs, Nevada",1667507674631,1667529753274,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850555,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850555&format=geojson,,,,,reviewed,0,22,nn,00850555,",nn00850555,",",nn,",",origin,phase-data,",31.0,0.013,0.1037,63.29,ml,earthquake,"M 1.2 - 45 km WNW of Indian Springs, Nevada"
1.83000004,"Island of Hawaii, Hawaii",1667507384190,1667507577680,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73206422,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73206422&format=geojson,,,,,automatic,0,52,hv,73206422,",hv73206422,",",hv,",",origin,phase-data,",30.0,,0.100000001,136.0,md,earthquake,"M 1.8 - Island of Hawaii, Hawaii"
0.91,"7km W of Cobb, CA",1667507074150,1667509573334,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73802736,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73802736&format=geojson,,,,,automatic,0,13,nc,73802736,",nc73802736,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.01118,0.03,59.0,md,earthquake,"M 0.9 - 7km W of Cobb, CA"
4.3,"near the east coast of Honshu, Japan",1667506594531,1667549225598,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000imay,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000imay&format=geojson,3.0,3.1,,,reviewed,0,285,us,7000imay,",us7000imay,",",us,",",dyfi,origin,phase-data,",20.0,1.662,0.68,157.0,mb,earthquake,"M 4.3 - near the east coast of Honshu, Japan"
1.89,"8km WSW of Corona, CA",1667505884970,1667507324270,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128831,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128831&format=geojson,,,,,reviewed,0,55,ci,40128831,",ci40128831,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",76.0,0.0512,0.17,26.0,ml,earthquake,"M 1.9 - 8km WSW of Corona, CA"
2.4,"30 km SE of Mina, Nevada",1667505612070,1667529743097,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850550,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850550&format=geojson,,,,,reviewed,0,89,nn,00850550,",nn00850550,",",nn,",",origin,phase-data,",14.0,0.083,0.1305,161.95,ml,earthquake,"M 2.4 - 30 km SE of Mina, Nevada"
1.9,"31 km SE of Mina, Nevada",1667505594948,1667529731125,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850548,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850548&format=geojson,,,,,reviewed,0,56,nn,00850548,",nn00850548,",",nn,",",origin,phase-data,",17.0,0.08,0.1409,138.3,ml,earthquake,"M 1.9 - 31 km SE of Mina, Nevada"
1.24,"14 km E of Bickleton, Washington",1667504636730,1667517366280,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61891111,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61891111&format=geojson,,,,,reviewed,0,24,uw,61891111,",uw61891111,",",uw,",",origin,phase-data,",13.0,0.0769,0.11,91.0,ml,earthquake,"M 1.2 - 14 km E of Bickleton, Washington"
1.82000005,"6 km SE of P?hala, Hawaii",1667504632610,1667504822210,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73206382,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73206382&format=geojson,,,,,automatic,0,51,hv,73206382,",hv73206382,",",hv,",",origin,phase-data,",30.0,,0.140000001,233.0,md,earthquake,"M 1.8 - 6 km SE of P?hala, Hawaii"
3.3,"39 km WSW of San Vicente, Mexico",1667504051157,1667592287924,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ima7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ima7&format=geojson,,,,,reviewed,0,168,us,7000ima7,",ci40128799,us7000ima7,",",ci,us,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.703,0.61,272.0,ml,earthquake,"M 3.3 - 39 km WSW of San Vicente, Mexico"
1.49,"13km NW of Coso Junction, CA",1667503882860,1667505651475,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128791,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128791&format=geojson,,,,,reviewed,0,34,ci,40128791,",ci40128791,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.1618,0.15,71.0,ml,earthquake,"M 1.5 - 13km NW of Coso Junction, CA"
1.5,"17 km NE of Chase, Alaska",1667503514204,1667503620878,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022e41g63g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022e41g63g&format=geojson,,,,,automatic,0,35,ak,022e41g63g,",ak022e41g63g,",",ak,",",origin,phase-data,",,,0.69,,ml,earthquake,"M 1.5 - 17 km NE of Chase, Alaska"
0.58,"37 km NNE of Amboy, Washington",1667503377630,1667515182150,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61891096,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61891096&format=geojson,,,,,reviewed,0,5,uw,61891096,",uw61891096,",",uw,",",origin,phase-data,",16.0,0.005486,0.08,82.0,ml,earthquake,"M 0.6 - 37 km NNE of Amboy, Washington"
4.6,"41 km ENE of Hinatuan, Philippines",1667503319429,1667507640040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ima3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ima3&format=geojson,,,,,reviewed,0,326,us,7000ima3,",us7000ima3,",",us,",",origin,phase-data,",40.0,1.801,0.7,141.0,mb,earthquake,"M 4.6 - 41 km ENE of Hinatuan, Philippines"
1.33,"7km SW of Yountville, CA",1667502781620,1667517798115,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73802716,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73802716&format=geojson,,,,,reviewed,0,27,nc,73802716,",nc73802716,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.05601,0.09,83.0,md,earthquake,"M 1.3 - 7km SW of Yountville, CA"
3.27,"79km ESE of Maneadero, B.C., MX",1667502669480,1667506357040,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128775,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128775&format=geojson,,,,,reviewed,0,165,ci,40128775,",ci40128775,us7000ima0,",",ci,us,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.1399,0.12,127.0,ml,earthquake,"M 3.3 - 79km ESE of Maneadero, B.C., MX"
3.1,"85km ESE of Maneadero, B.C., MX",1667502543270,1667506169536,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128767,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128767&format=geojson,,,,,reviewed,0,148,ci,40128767,",ci40128767,us7000im9z,",",ci,us,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.1895,0.09,86.0,ml,earthquake,"M 3.1 - 85km ESE of Maneadero, B.C., MX"
1.06,"4km WNW of Borrego Springs, CA",1667502322980,1667592581423,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128751,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128751&format=geojson,,,,,reviewed,0,17,ci,40128751,",ci40128751,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.003431,0.16,144.0,ml,earthquake,"M 1.1 - 4km WNW of Borrego Springs, CA"
1.41,"7km S of Mojave, CA",1667502156250,1667510047922,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128759,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128759&format=geojson,,,,,reviewed,0,31,ci,40128759,",ci40128759,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.119,0.15,69.0,ml,quarry blast,"M 1.4 Quarry Blast - 7km S of Mojave, CA"
1.9,"60 km ESE of Denali National Park, Alaska",1667501600734,1667501742335,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022e410r1l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022e410r1l&format=geojson,,,,,automatic,0,56,ak,022e410r1l,",ak022e410r1l,",",ak,",",origin,phase-data,",,,0.16,,ml,earthquake,"M 1.9 - 60 km ESE of Denali National Park, Alaska"
0.93,"5 km W of West Richland, Washington",1667501363750,1667514895920,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61891076,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61891076&format=geojson,,,,,reviewed,0,13,uw,61891076,",uw61891076,",",uw,",",origin,phase-data,",7.0,0.01417,0.31,269.0,ml,explosion,"M 0.9 Explosion - 5 km W of West Richland, Washington"
1.8,"40 km ENE of Susitna North, Alaska",1667501228573,1667501334623,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022e40zft5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022e40zft5&format=geojson,,,,,automatic,0,50,ak,022e40zft5,",ak022e40zft5,",",ak,",",origin,phase-data,",,,0.72,,ml,earthquake,"M 1.8 - 40 km ENE of Susitna North, Alaska"
5.3,"269 km WSW of Tual, Indonesia",1667501204614,1667502877136,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000im9n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000im9n&format=geojson,1.0,2.2,,,reviewed,0,432,us,7000im9n,",us7000im9n,",",us,",",dyfi,moment-tensor,origin,phase-data,",109.0,1.643,1.16,32.0,mww,earthquake,"M 5.3 - 269 km WSW of Tual, Indonesia"
2.3,"20 km ENE of Honaunau-Napoopoo, Hawaii",1667500924660,1667513083270,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73206342,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73206342&format=geojson,,,,,reviewed,0,81,hv,73206342,",hv73206342,",",hv,",",origin,phase-data,",29.0,,0.19,64.0,ml,earthquake,"M 2.3 - 20 km ENE of Honaunau-Napoopoo, Hawaii"
1.58,"7 km S of Wapanucka, Oklahoma",1667500844310,1667592087389,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022vomx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022vomx&format=geojson,,,,,reviewed,0,38,ok,2022vomx,",ok2022vomx,",",ok,",",origin,phase-data,",26.0,0.5956831067,0.45,221.0,ml,quarry blast,"M 1.6 Quarry Blast - 7 km S of Wapanucka, Oklahoma"
0.35,"150 km W of Adak, Alaska",1667500612240,1667517188530,,https://earthquake.usgs.gov/earthquakes/eventpage/av91708726,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91708726&format=geojson,,,,,reviewed,0,2,av,91708726,",av91708726,",",av,",",origin,phase-data,",4.0,,0.08,137.0,ml,earthquake,"M 0.4 - 150 km W of Adak, Alaska"
-0.38,Washington,1667500518290,1667513303970,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61891066,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61891066&format=geojson,,,,,reviewed,0,0,uw,61891066,",uw61891066,",",uw,",",origin,phase-data,",8.0,0.003402,0.08,139.0,mh,earthquake,M -0.4 - Washington
1.2,"10 km NW of Bridgeport, California",1667500304317,1667506102794,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850544,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850544&format=geojson,,,,,reviewed,0,22,nn,00850544,",nn00850544,",",nn,",",origin,phase-data,",21.0,0.097,0.1576,88.15,ml,earthquake,"M 1.2 - 10 km NW of Bridgeport, California"
1.04,"12km WNW of Garnet, CA",1667499757950,1667509813894,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128735,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128735&format=geojson,,,,,reviewed,0,17,ci,40128735,",ci40128735,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.06703,0.1,62.0,ml,earthquake,"M 1.0 - 12km WNW of Garnet, CA"
1.32,"12km SW of Morongo Valley, CA",1667499159850,1667509374256,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128719,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128719&format=geojson,,,,,reviewed,0,27,ci,40128719,",ci40128719,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",35.0,0.06697,0.11,62.0,ml,earthquake,"M 1.3 - 12km SW of Morongo Valley, CA"
1.28,Washington,1667498167810,1667512099310,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61891036,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61891036&format=geojson,,,,,reviewed,0,25,uw,61891036,",uw61891036,",",uw,",",origin,phase-data,",14.0,0.03985,0.09,93.0,ml,earthquake,M 1.3 - Washington
1.32,"31km N of Searles Valley, CA",1667497913000,1667508058198,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128711,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128711&format=geojson,,,,,reviewed,0,27,ci,40128711,",ci40128711,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.1712,0.15,139.0,ml,earthquake,"M 1.3 - 31km N of Searles Valley, CA"
1.7,"49 km N of Valdez, Alaska",1667497164972,1667497249484,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022e40cbqp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022e40cbqp&format=geojson,,,,,automatic,0,44,ak,022e40cbqp,",ak022e40cbqp,",",ak,",",origin,phase-data,",,,0.78,,ml,earthquake,"M 1.7 - 49 km N of Valdez, Alaska"
3.85,,1667496303180,1667503296112,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2022307000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022307000&format=geojson,,,,,reviewed,0,228,pr,2022307000,",us7000im9b,pr2022307000,",",us,pr,",",origin,phase-data,",18.0,1.3702,0.37,302.0,md,earthquake,M 3.9 - 
0.5,"16 km NNW of Sutcliffe, Nevada",1667496230136,1667529819715,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850578,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850578&format=geojson,,,,,reviewed,0,4,nn,00850578,",nn00850578,",",nn,",",origin,phase-data,",4.0,0.089,0.0584,175.29,ml,earthquake,"M 0.5 - 16 km NNW of Sutcliffe, Nevada"
1.3,"17 km NNW of Sutcliffe, Nevada",1667496051648,1667529816997,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850577,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850577&format=geojson,,,,,reviewed,0,26,nn,00850577,",nn00850577,",",nn,",",origin,phase-data,",4.0,0.085,0.1187,166.57,ml,earthquake,"M 1.3 - 17 km NNW of Sutcliffe, Nevada"
1.3,Central Alaska,1667495028286,1667495200283,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022e404nrb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022e404nrb&format=geojson,,,,,automatic,0,26,ak,022e404nrb,",ak022e404nrb,",",ak,",",origin,phase-data,",,,0.25,,ml,earthquake,M 1.3 - Central Alaska
1.82,"31km N of Searles Valley, CA",1667494958240,1667507508400,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40128695,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40128695&format=geojson,,,,,reviewed,0,51,ci,40128695,",ci40128695,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",25.0,0.171,0.17,62.0,ml,earthquake,"M 1.8 - 31km N of Searles Valley, CA"
